experiment_id,makespan_attempt,zone_attempt,waiting_attempt,iteration,clauses_before,variables,clauses_added,total_clauses_after,new_vertex_collisions,new_edge_collisions,total_vertex_collisions,total_edge_collisions,iteration_wall_ms,solver_wall_ms,solver_reported_ms,used_assumptions,reset_solver,satisfiable,num_decisions,num_propagations
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-1_scen-agents100-idx0-seed42-1760968889743,0,0,0,2836,8150789,155613,52,8150841,37,15,245090,83902,87.859000,48.793000,48.532763,1,0,1,39557414,1415104027
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-1_scen-agents100-idx0-seed42-1760968889743,0,0,0,2837,8150841,155613,43,8150884,35,8,245125,83910,84.419000,48.049000,47.786485,1,0,1,39564380,1415378013
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-1_scen-agents100-idx0-seed42-1760968889743,0,0,0,2838,8150884,155613,45,8150929,32,13,245157,83923,81.700000,45.359000,45.114813,1,0,1,39570709,1415598017
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-1_scen-agents100-idx0-seed42-1760968889743,0,0,0,2839,8150929,155613,50,8150979,35,15,245192,83938,80.793000,44.181000,43.927126,1,0,1,39576990,1415824438
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-1_scen-agents100-idx0-seed42-1760968889743,0,0,0,2840,8150979,155613,48,8151027,37,11,245229,83949,86.900000,48.634000,48.353542,1,0,1,39583779,1416100420
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-1_scen-agents100-idx0-seed42-1760968889743,0,0,0,2841,8151027,155613,56,8151083,37,19,245266,83968,83.389000,48.325000,48.053529,1,0,1,39591482,1416371088
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-1_scen-agents100-idx0-seed42-1760968889743,0,0,0,2842,8151083,155613,67,8151150,43,24,245309,83992,88.991000,51.684000,51.438072,1,0,1,39599510,1416686123
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-1_scen-agents100-idx0-seed42-1760968889743,0,0,0,2843,8151150,155613,49,8151199,33,16,245342,84008,79.783000,43.214000,42.938826,1,0,1,39605387,1416896325
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-1_scen-agents100-idx0-seed42-1760968889743,0,0,0,2844,8151199,155613,55,8151254,43,12,245385,84020,98.849000,60.441000,60.149185,1,0,1,39616479,1417310981
_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-map_empty-16-16_map-_home_max_Documents_PhD_MAPF_LNS_MAPF_LNS_SAT_mapf-scen-even_scen-even_empty-16-16-even-1_scen-agents100-idx0-seed42-1760968889743,0,0,0,2845,8151254,155613,55,8151309,37,18,245422,84038,103.327000,65.167000,64.920177,1,0,1,39627129,1417686977
