solver,map,solved_instances,solve_time_mean_s,solve_time_std_s,cnf_build_mean_s,cnf_build_std_s,mdd_build_mean_s,mdd_build_std_s,sat_solver_mean_s,sat_solver_std_s,cnf_variables_mean,cnf_variables_std,cnf_clauses_mean,cnf_clauses_std,total_solve_time_s,total_cnf_build_time_s,total_mdd_build_time_s,total_sat_solver_time_s,total_zones_used,total_zones_expanded,total_waiting_attempts
MDD-SAT,Berlin_1_256,3,1.3448653333333331,0.02486063979242873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.034596,0.0,0.0,0.0,0.0,0.0,0.0
MDD-SAT,warehouse-20-40-10-2-2,3,0.9358343333333333,0.038509959545839856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.807503,0.0,0.0,0.0,0.0,0.0,0.0
LNS++1,empty-16-16,219,5.174723356164384,39.927038545262405,2.765306123287671,13.029632175560321,2.415525114155251e-06,6.567940404922329e-06,1.6161999543378998,18.7927988807754,9837.123287671233,34400.90904684991,347057.3561643836,1325581.8822180575,1133.264415,605.602041,0.000529,353.94779000000005,1329.0,1124.0,2502.0
LNS++1,empty-32-32,60,0.022363583333333333,0.005131370935372815,3.775e-05,5.106454249281002e-05,0.0,0.0,0.0001079166666666667,0.00011794367181931476,42.61666666666667,55.78652515517424,99.41666666666667,137.9344399423952,1.341815,0.002265,0.0,0.006475000000000002,121.0,107.0,209.0
LNS++1,room-32-32-4,152,4.476553743421053,20.759212604144725,2.664502322368421,12.749376818855307,6.249999999999999e-07,2.2118475844510857e-06,1.577881394736842,8.372850709877712,13175.059210526315,47628.47954552887,926172.6381578947,3572174.3016091064,680.436169,405.004353,9.499999999999999e-05,239.83797199999998,1179.0,855.0,3021.0
LNS++1,room-64-64-8,1,0.08895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08895,0.0,0.0,0.0,0.0,0.0,0.0
LNS++1,Berlin_1_256,6,1.4312075,0.06501292543474206,9e-06,2.0124611797498105e-05,0.0,0.0,1.3500000000000001e-05,3.018691769624716e-05,5.333333333333333,11.92569587999888,10.0,22.360679774997898,8.587245,5.4e-05,0.0,8.1e-05,2.0,2.0,4.0
LNS++1,warehouse-20-40-10-2-2,3,0.9134493333333333,0.02455585312891589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.740348,0.0,0.0,0.0,0.0,0.0,0.0
LNS+2,empty-16-16,219,5.187854844748859,40.17316816806035,2.7766619589041097,13.609419826178266,2.7214611872146115e-06,6.531975839454326e-06,1.6198506575342466,18.79911587480928,10388.452054794521,38870.74737838919,354852.71689497714,1451857.1323457127,1136.1402110000001,608.088969,0.000596,354.747294,1255.0,1065.0,2343.0
LNS+2,empty-32-32,60,0.023915833333333338,0.006350120600342083,4.313333333333334e-05,6.318239909623214e-05,3.3333333333333334e-08,2.5603819159562003e-07,0.00011788333333333333,0.00012972806065852607,45.53333333333333,61.63047586669728,107.58333333333333,157.96120743890114,1.4349500000000002,0.0025880000000000005,2e-06,0.007072999999999999,119.0,105.0,203.0
LNS+2,room-32-32-4,153,5.204702287581699,28.486412054309305,3.140923196078432,18.739000795781976,1.6470588235294118e-06,6.577313542851992e-06,1.8547432549019607,8.792143629573081,21533.882352941175,85554.27333042616,1361257.7843137255,5868956.305979146,796.31945,480.5612490000001,0.000252,283.775718,1215.0,848.0,2995.0
