solver,map,agents,finishing_time_s,solved_instances,solve_time_mean_s,solve_time_std_s,cnf_variables_mean,cnf_variables_std,cnf_clauses_mean,cnf_clauses_std
LNS+2,warehouse-20-40-10-2-2,20,204.91559799999996,100,2.0491559799999997,0.14683695508011463,66.03,77.67347745530645,162.15,196.27110714519344
LNS+2,warehouse-20-40-10-2-2,50,538.0975850000001,100,5.380975850000001,0.2694214951812262,443.02,236.1413974719384,1098.23,652.1554240363258
LNS+2,warehouse-20-40-10-2-2,100,600.0,48,12.156556499999999,0.5461353683601484,1857.6875,431.2843781587156,4689.770833333333,1209.0295047334337
LNS+2,warehouse-20-40-10-2-2,200,600.0,17,33.373943,1.3180622791085046,8076.588235294118,1494.0632343033162,26360.764705882353,16507.219680845577
LNS++1,room-64-64-8,10,600.0,31,0.05925145161290323,0.013519472257400673,637.7741935483871,947.4063647554772,4062.2903225806454,8259.7746520598
LNS++1,room-64-64-8,20,600.0,1,0.305417,0.0,17100.0,0.0,163618.0,0.0
LNS++1,room-64-64-16,10,600.0,92,0.06207842391304348,0.006539435189069225,303.95652173913044,395.97639128799955,1557.4021739130435,4612.612942083211
LNS++1,room-64-64-16,20,600.0,9,0.14198655555555553,0.016583411578449316,2018.5555555555557,731.7829233547202,9169.0,5312.223786283439
LNS++1,room-64-64-16,50,600.0,3,17.355238333333336,21.073564265293655,187808.33333333334,166238.95774122528,6372779.666666667,6921633.011111868
LNS++1,room-32-32-4,10,157.39658599999999,100,1.57396586,5.699632541305595,7003.0,23250.08858434737,535558.24,1877532.8837702905
LNS++1,room-32-32-4,20,600.0,52,10.058453519230767,33.90948012135723,25044.403846153848,73329.58140956685,1677354.173076923,5446368.018014661
LNS++1,room-32-32-4,50,600.0,0,,,,,,
LNS++1,empty-48-48,10,3.517758,100,0.03517758,0.003819108443550667,24.15,38.6963499570696,58.94,101.0196832305467
LNS++1,empty-48-48,20,6.455822,100,0.06455822,0.0048606181367805475,96.27,66.85803691404647,233.09,181.01210429139815
LNS++1,empty-48-48,50,17.530959000000006,100,0.17530959000000007,0.008891182354552175,691.36,253.32633183307257,1825.05,940.601237241372
