solver,agents,solved_instances,solve_time_mean_s,solve_time_std_s,cnf_build_mean_s,cnf_build_std_s,mdd_build_mean_s,mdd_build_std_s,sat_solver_mean_s,sat_solver_std_s,cnf_variables_mean,cnf_variables_std,cnf_clauses_mean,cnf_clauses_std,total_solve_time_s,total_cnf_build_time_s,total_mdd_build_time_s,total_sat_solver_time_s,total_zones_used,total_zones_expanded,total_waiting_attempts
LNS++1,50,18,30.99643822222222,23.94913834246368,26.015442277777776,20.91650866105826,2.0944444444444445e-05,1.128160854479647e-05,4.185449722222223,2.993040798427037,107299.77777777778,51610.658644590025,3743135.111111111,2250085.000150115,557.935888,468.27796099999995,0.000377,75.33809500000001,147.0,87.0,360.0
LNS++1,100,1,572.1616750000001,0.0,137.102585,0.0,1e-05,0.0,278.27961300000004,0.0,158282.0,0.0,8236585.0,0.0,572.1616750000001,137.102585,1e-05,278.27961300000004,3.0,1.0,8.0
LNS+2,10,268,0.8877245746268656,5.362853048803019,0.3916618358208956,2.7405917915618176,5.111940298507461e-07,1.68505991955825e-06,0.3813901044776119,2.4830757295713166,4222.8470149253735,25012.292888498403,279559.01492537314,1753110.1174516282,237.91018599999998,104.96537200000002,0.00013699999999999997,102.21254799999998,835.0,627.0,1719.0
LNS+2,20,161,3.6229071055900617,27.10630550197674,2.3349089130434786,18.024076429042967,2.186335403726708e-06,6.369770385931663e-06,1.1304002546583851,8.058946584413468,13943.869565217392,78306.43652047883,831547.6894409938,5343847.60261612,583.2880439999999,375.9203350000001,0.000352,181.994441,1634.0,1323.0,3505.0
LNS+2,50,18,31.1741905,29.254230064180984,26.194759388888887,25.09163769991873,1.9833333333333332e-05,1.2415268377642462e-05,4.2277454444444444,3.655018345647988,113299.77777777778,74100.91017701288,3831082.277777778,2955528.7031873707,561.135429,471.50566899999995,0.00035699999999999995,76.099418,122.0,71.0,319.0
LNS+2,100,1,571.3466080000001,0.0,136.261544,0.0,4e-06,0.0,278.223858,0.0,156469.0,0.0,8231286.0,0.0,571.3466080000001,136.261544,4e-06,278.223858,2.0,1.0,6.0
LNSinit2,10,262,1.2096691183206105,8.220012208192646,0.5433861641221375,3.9791959435619773,5.725190839694657e-07,2.517209573296454e-06,0.5749250648854961,4.034064091351621,6508.591603053435,41386.33046331494,408444.3893129771,2750141.084944239,316.93330899999995,142.367175,0.00015000000000000001,150.63036699999998,834.0,592.0,1504.0
LNSinit2,20,149,2.1702838120805366,12.498958165271917,1.3001377583892617,7.669199051556169,2.0604026845637582e-06,6.415405313867622e-06,0.7716442617449664,4.539563232926504,11602.080536912752,55292.064190774574,614219.2348993289,3406209.915604996,323.37228799999997,193.720526,0.000307,114.97499499999999,1223.0,1067.0,2168.0
LNSinit2,50,50,8.941017239999999,12.206990014470202,6.90333988,10.243163059751621,1.3440000000000002e-05,1.138272375136988e-05,1.73903244,1.8076653574625934,60333.2,46748.60970210772,1626812.84,1562117.247686221,447.05086199999994,345.166994,0.0006720000000000001,86.951622,339.0,296.0,488.0
LNSinit2,100,1,569.202597,0.0,136.834891,0.0,3e-06,0.0,276.147599,0.0,155613.0,0.0,8228035.0,0.0,569.202597,136.834891,3e-06,276.147599,1.0,1.0,1.0
