map_name,num_agents,solver,timestep,collision_iter,cnf_vars,cnf_clauses,solver_time_s,flips,tries,collisions_added,status,seed,params
"mapf-map/empty-16-16.map",3,"probSAT",5,36,66,278,0.0002745,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,37,66,279,0.00029,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,38,66,280,0.0003176,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,39,66,281,0.000609,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,40,66,282,0.0006629,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,41,66,283,0.0002367,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,42,66,284,0.0009509,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,43,66,285,0.0005156,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,44,66,286,0.0005305,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,45,66,287,0.0003592,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,46,66,288,0.0002208,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,47,66,289,0.0002822,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,48,66,290,0.0013602,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,49,66,291,0.0008059,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,0,120,598,0.0002112,89,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,1,120,600,0.0006892,81,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,2,120,601,0.0005258,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,3,120,602,0.0005483,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,4,120,603,0.0004788,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,5,120,604,0.0005095,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,6,120,605,0.0005025,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,7,120,606,0.0005823,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,8,120,607,0.000409,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,9,120,608,0.0004835,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,10,120,609,0.0004035,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,11,120,610,0.0002989,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,12,120,611,0.0465193,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,13,120,612,0.0003068,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,14,120,613,0.0003339,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,15,120,614,0.0004474,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,16,120,615,0.0005128,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,17,120,616,0.0004996,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,18,120,617,0.0006917,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,19,120,618,0.0004732,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,20,120,619,0.0009174,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,21,120,620,0.0005429,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,22,120,621,0.0004762,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,23,120,622,0.0004058,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,24,120,623,0.000372801,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,25,120,624,0.0004325,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,26,120,625,0.0003041,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,27,120,626,0.0005226,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,28,120,627,0.0005599,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,29,120,628,0.0004672,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,30,120,629,0.0003499,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,31,120,630,0.000227,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,32,120,631,0.000473801,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,33,120,632,0.0394721,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,34,120,633,0.000567701,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,35,120,634,0.0006944,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,36,120,635,0.0024958,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,37,120,636,0.0003329,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,38,120,637,0.000767,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,39,120,638,0.0007206,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,40,120,639,0.0004932,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,41,120,640,0.0005419,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,42,120,641,0.00033,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,43,120,642,0.0006096,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,44,120,643,0.0004499,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,45,120,644,0.000533701,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,46,120,645,0.0010581,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,47,120,646,0.000238,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,48,120,647,0.0002877,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,49,120,648,0.0217867,91,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,0,174,1048,0.0006428,100,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,1,174,1052,0.0005362,116,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,2,174,1057,0.0007974,150,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,3,174,1058,0.000796201,150,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,4,174,1059,0.0005213,150,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,5,174,1060,0.000783001,150,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,6,174,1061,0.0005546,150,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,7,174,1062,0.0005339,150,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,8,174,1063,0.0006595,150,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,9,174,1064,0.0019001,150,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,10,174,1065,0.0002548,150,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,11,174,1066,0.0002634,150,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,12,174,1067,0.0008318,150,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,13,174,1068,0.0007073,150,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,14,174,1069,0.0006304,150,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,15,174,1070,0.000295,150,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,16,174,1071,0.0005801,150,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,17,174,1072,0.000375701,150,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,18,174,1073,0.0004343,150,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,19,174,1074,0.0003618,150,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,20,174,1075,0.0002914,150,1,0,"SAT",42,""
