map_name,num_agents,solver,timestep,collision_iter,cnf_vars,cnf_clauses,solver_time_s,decisions,propagations,collisions_added,status,seed,params
"mapf-map/empty-8-8.map",15,"MiniSAT",8,12,937,6580,0.00163517,407,1603,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:21:14Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,0,937,6540,0.00245464,248,978,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:26:24Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,1,937,6555,0.00210107,241,978,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:26:24Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,2,937,6559,0.00194437,224,954,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:26:24Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,3,937,6561,0.00190281,240,963,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:26:24Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,4,937,6564,0.00196727,241,988,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:26:24Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,5,937,6565,0.00186927,241,988,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:26:24Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,6,937,6566,0.00193353,253,991,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:26:24Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,7,937,6568,0.00182982,252,991,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:26:24Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,8,937,6570,0.00150869,260,1007,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:26:24Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,9,937,6573,0.00162893,237,983,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:26:24Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,10,937,6575,0.00135171,232,983,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:26:24Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,11,937,6579,0.00243058,235,988,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:26:24Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,12,937,6580,0.00203963,407,1603,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:26:24Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,0,937,6540,0.0113804,248,978,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:38:41Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,1,937,6555,0.0094132,241,978,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:38:41Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,2,937,6559,0.00849469,224,954,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:38:41Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,3,937,6561,0.00821851,240,963,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:38:41Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,4,937,6564,0.00606547,241,988,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:38:41Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,5,937,6565,0.00477449,241,988,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:38:41Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,6,937,6566,0.00501482,253,991,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:38:41Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,7,937,6568,0.00549649,252,991,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:38:41Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,8,937,6570,0.00480066,260,1007,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:38:41Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,9,937,6573,0.00526243,237,983,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:38:41Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,10,937,6575,0.00481698,232,983,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:38:41Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,11,937,6579,0.00490008,235,988,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:38:41Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,12,937,6580,0.0050301,407,1603,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:38:41Z"
