map_name,num_agents,solver,timestep,cnf_vars,cnf_clauses,cnf_build_time_s,total_solver_time_s,num_collision_iterations,status,seed,params
"mapf-map/empty-16-16.map",3,"probSAT",7,174,1052,0.000879944,0.000745781,1,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",4,39,111,0.000117839,0.000277779,0,"UNKNOWN",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,66,237,0.000173074,0.000197858,0,"UNKNOWN",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,120,598,0.000413609,0.000293319,0,"UNKNOWN",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,174,1048,0.000711192,0.00034433,0,"UNKNOWN",42,""
"mapf-map/empty-16-16.map",3,"probSAT",8,252,1927,0.00123744,0.000421873,0,"UNKNOWN",42,""
"mapf-map/empty-16-16.map",3,"probSAT",9,330,2914,0.00187624,0.000446979,0,"UNKNOWN",42,""
"mapf-map/empty-16-16.map",3,"probSAT",10,435,4611,0.00319288,0.000548415,0,"UNKNOWN",42,""
"mapf-map/empty-16-16.map",3,"probSAT",11,540,6428,0.00375574,0.000649217,0,"UNKNOWN",42,""
"mapf-map/empty-16-16.map",3,"probSAT",12,675,9315,0.00528642,0.000833309,0,"UNKNOWN",42,""
"mapf-map/empty-16-16.map",3,"probSAT",13,810,12338,0.00828312,0.000852217,0,"UNKNOWN",42,""
"mapf-map/empty-16-16.map",3,"probSAT",14,978,16880,0.00741159,0.000786854,0,"UNKNOWN",42,""
"mapf-map/empty-16-16.map",3,"probSAT",4,39,111,8.3338e-05,0.000232808,0,"UNKNOWN",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,66,237,0.00014469,0.000202437,0,"UNKNOWN",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,120,598,0.000336699,0.000216143,0,"UNKNOWN",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,174,1048,0.000587283,0.000259596,0,"UNKNOWN",42,""
"mapf-map/empty-16-16.map",3,"probSAT",8,252,1927,0.00107464,0.000416645,0,"UNKNOWN",42,""
"mapf-map/empty-16-16.map",3,"probSAT",9,330,2914,0.0018117,0.000467202,0,"UNKNOWN",42,""
"mapf-map/empty-16-16.map",3,"probSAT",10,435,4611,0.00246229,0.000380648,0,"UNKNOWN",42,""
"mapf-map/empty-16-16.map",3,"probSAT",11,540,6428,0.00245415,0.000399533,0,"UNKNOWN",42,""
"mapf-map/empty-16-16.map",3,"probSAT",12,675,9315,0.0036251,0.00052046,0,"UNKNOWN",42,""
"mapf-map/empty-16-16.map",3,"probSAT",13,810,12338,0.00497224,0.000554373,0,"UNKNOWN",42,""
"mapf-map/empty-16-16.map",3,"probSAT",14,978,16880,0.00679294,0.000756507,0,"UNKNOWN",42,""
